#init
01,0,0,0,0,C403,FF
01,0,0,0,0,C402,07

# latch reg0
01,0,0,0,0,C401,00
01,0,0,0,0,C400,07
# write '9F' to reg0
01,0,0,0,0,C401,9F
01,0,0,0,0,C400,06

01,0,0,0,0,C401,01
01,0,0,0,0,C400,07
01,0,0,0,0,C401,00
01,0,0,0,0,C400,06

01,0,0,0,0,C401,02
01,0,0,0,0,C400,07
01,0,0,0,0,C401,00
01,0,0,0,0,C400,06

01,0,0,0,0,C401,03
01,0,0,0,0,C400,07
01,0,0,0,0,C401,00
01,0,0,0,0,C400,06

01,0,0,0,0,C401,04
01,0,0,0,0,C400,07
01,0,0,0,0,C401,00
01,0,0,0,0,C400,06

01,0,0,0,0,C401,05
01,0,0,0,0,C400,07
01,0,0,0,0,C401,00
01,0,0,0,0,C400,06

01,0,0,0,0,C401,06
01,0,0,0,0,C400,07
01,0,0,0,0,C401,00
01,0,0,0,0,C400,06

01,0,0,0,0,C401,07
01,0,0,0,0,C400,07
01,0,0,0,0,C401,3C
01,0,0,0,0,C400,06

01,0,0,0,0,C401,08
01,0,0,0,0,C400,07
01,0,0,0,0,C401,0F
01,0,0,0,0,C400,06

01,0,0,0,0,C401,09
01,0,0,0,0,C400,07
01,0,0,0,0,C401,00
01,0,0,0,0,C400,06

01,0,0,0,0,C401,0A
01,0,0,0,0,C400,07
01,0,0,0,0,C401,00
01,0,0,0,0,C400,06

01,0,0,0,0,C401,0B
01,0,0,0,0,C400,07
01,0,0,0,0,C401,00
01,0,0,0,0,C400,06

01,0,0,0,0,C401,0C
01,0,0,0,0,C400,07
01,0,0,0,0,C401,00
01,0,0,0,0,C400,06

01,0,0,0,0,C401,0D
01,0,0,0,0,C400,07
01,0,0,0,0,C401,00
01,0,0,0,0,C400,06

01,0,0,0,0,C401,0E
01,0,0,0,0,C400,07
01,0,0,0,0,C401,00
01,0,0,0,0,C400,06

01,0,0,0,0,C401,0F
01,0,0,0,0,C400,07
01,0,0,0,0,C401,00
01,0,0,0,0,C400,06

# finished setting up registers
500000,0,0,0,1,C000,0

01,0,0,0,0,C401,00
01,0,0,0,0,C400,07
01,0,0,0,0,C401,3F
01,0,0,0,0,C400,06

01,0,0,0,0,C401,01
01,0,0,0,0,C400,07
01,0,0,0,0,C401,01
01,0,0,0,0,C400,06

500000,0,0,0,1,C000,0

01,0,0,0,0,C401,02
01,0,0,0,0,C400,07
01,0,0,0,0,C401,C2
01,0,0,0,0,C400,06

01,0,0,0,0,C401,03
01,0,0,0,0,C400,07
01,0,0,0,0,C401,01
01,0,0,0,0,C400,06

01,0,0,0,0,C401,09
01,0,0,0,0,C400,07
01,0,0,0,0,C401,0F
01,0,0,0,0,C400,06

500000,0,0,0,1,C000,0

01,0,0,0,0,C401,02
01,0,0,0,0,C400,07
01,0,0,0,0,C401,80
01,0,0,0,0,C400,06

01,0,0,0,0,C401,03
01,0,0,0,0,C400,07
01,0,0,0,0,C401,02
01,0,0,0,0,C400,06

500000,0,0,0,1,C000,0

